"height [mm]","radius [mm]","Freq [GHz]","dB(S(1,1)) []"
9,7.2,5.92481203007519,-6.2474519417076
9,7.2,5.94486215538847,-6.12463475409998
9,7.2,5.96491228070175,-6.00150569530479
9,7.2,5.98496240601504,-5.878312389661
9,7.2,6.00501253132832,-5.75530478532808
9,7.2,6.0250626566416,-5.63273313712893
9,7.2,6.04511278195489,-5.51084593760401
9,7.2,6.06516290726817,-5.38988784323237
9,7.2,6.08521303258145,-5.27009764157155
9,7.2,6.10526315789474,-5.15170630249512
9,7.2,6.12531328320802,-5.03493515289619
9,7.2,6.1453634085213,-4.91999420937507
9,7.2,6.16541353383459,-4.80708069776181
9,7.2,6.18546365914787,-4.69637778208474
9,7.2,6.20551378446115,-4.58805351904444
9,7.2,6.22556390977444,-4.48226004744369
9,7.2,6.24561403508772,-4.37913301559163
9,7.2,6.265664160401,-4.27879124366252
9,7.2,6.28571428571429,-4.18133661252662
9,7.2,6.30576441102757,-4.08685416581825
9,7.2,6.32581453634085,-3.99541240807
9,7.2,6.34586466165413,-3.90706377867612
9,7.2,6.36591478696742,-3.82184527926507
9,7.2,6.3859649122807,-3.73977923074508
9,7.2,6.40601503759398,-3.66087413577787
9,7.2,6.42606516290727,-3.5851256226604
9,7.2,6.44611528822055,-3.51251744744942
9,7.2,6.46616541353383,-3.44302253254214
9,7.2,6.48621553884712,-3.37660402171371
9,7.2,6.5062656641604,-3.31321633369121
9,7.2,6.52631578947368,-3.25280619860913
9,7.2,6.54636591478697,-3.19531366404393
9,7.2,6.56641604010025,-3.14067305967729
9,7.2,6.58646616541353,-3.08881391191849
9,7.2,6.60651629072682,-3.0396618019703
9,7.2,6.6265664160401,-2.99313916280312
9,7.2,6.64661654135338,-2.94916601228357
9,7.2,6.66666666666667,-2.90766062126843
9,7.2,6.68671679197995,-2.86854011681518
9,7.2,6.70676691729323,-2.83172102178017
9,7.2,6.72681704260652,-2.79711973298466
9,7.2,6.7468671679198,-2.76465294083976
9,7.2,6.76691729323308,-2.73423799385354
9,7.2,6.78696741854637,-2.70579321181716
9,7.2,6.80701754385965,-2.67923815170111
9,7.2,6.82706766917293,-2.6544938304103
9,7.2,6.84711779448622,-2.63148290856698
